
==================================================
Processing dataset: TA01
==================================================

=== MAPLE Multi-Agent JSSP with TA01 ===
Using openai model
Dataset: /Users/glin/Documents/GitHub/M-APPLE/M-APPLE-OS/applications/TA/TA01.txt
Jobs: 15, Machines: 69
==================================================

=== Results for TA01 ===
Timestamp: 2025-09-19 17:19:00

| Job  | Step | Machine  | Time Slot | Precedence Constraints      |
| Job1 | 2 | Machine10 | 66-119 | After Job1 Step 1 |
| Job7 | 2 | Machine20 | 75-79 | After Job7 Step 1 |
| Job15 | 4 | Machine68 | 76-149 | After Job15 Step 3 |
| Job7 | 3 | Machine91 | 79-147 | After Job7 Step 2 |
| Job13 | 3 | Machine31 | 82-115 | After Job13 Step 2 |
| Job3 | 2 | Machine40 | 82-168 | After Job3 Step 1 |
| Job2 | 3 | Machine57 | 82-160 | After Job2 Step 2 |
| Job6 | 2 | Machine88 | 82-152 | After Job6 Step 1 |
| Job5 | 3 | Machine36 | 83-112 | After Job5 Step 2 |
| Job14 | 3 | Machine17 | 96-185 | After Job14 Step 2 |
| Job12 | 3 | Machine51 | 96-99 | After Job12 Step 2 |
| Job12 | 4 | Machine84 | 99-133 | After Job12 Step 3 |
| Job8 | 3 | Machine61 | 101-136 | After Job8 Step 2 |
| Job5 | 4 | Machine95 | 112-211 | After Job5 Step 3 |
| Job13 | 4 | Machine33 | 115-192 | After Job13 Step 3 |
| Job1 | 3 | Machine26 | 119-134 | After Job1 Step 2 |
| Job10 | 3 | Machine41 | 119-136 | After Job10 Step 2 |
| Job9 | 3 | Machine13 | 121-208 | After Job9 Step 2 |
| Job12 | 5 | Machine28 | 133-193 | After Job12 Step 4 |
| Job1 | 4 | Machine65 | 134-216 | After Job1 Step 3 |
| Job10 | 4 | Machine66 | 136-225 | After Job10 Step 3 |
| Job8 | 4 | Machine99 | 136-198 | After Job8 Step 3 |
| Job7 | 4 | Machine19 | 147-201 | After Job7 Step 3 |
| Job4 | 4 | Machine58 | 147-240 | After Job4 Step 3 |
| Job11 | 3 | Machine91 | 147-227 | After Job11 Step 2 |
| Job15 | 5 | Machine5 | 149-157 | After Job15 Step 4 |
| Job6 | 3 | Machine16 | 152-183 | After Job6 Step 2 |
| Job15 | 6 | Machine12 | 157-244 | After Job15 Step 5 |
| Job2 | 4 | Machine8 | 160-167 | After Job2 Step 3 |
| Job3 | 3 | Machine50 | 168-222 | After Job3 Step 2 |
| Job14 | 4 | Machine59 | 185-241 | After Job14 Step 3 |
| Job8 | 5 | Machine6 | 198-260 | After Job8 Step 4 |
| Job7 | 5 | Machine85 | 201-274 | After Job7 Step 4 |
| Job9 | 4 | Machine82 | 208-291 | After Job9 Step 3 |
| Job5 | 5 | Machine79 | 211-287 | After Job5 Step 4 |
| Job1 | 5 | Machine10 | 216-243 | After Job1 Step 4 |
| Job6 | 4 | Machine65 | 216-299 | After Job6 Step 3 |
| Job3 | 4 | Machine21 | 222-228 | After Job3 Step 3 |
| Job13 | 5 | Machine50 | 222-302 | After Job13 Step 4 |
| Job11 | 4 | Machine89 | 227-276 | After Job11 Step 3 |
| Job2 | 5 | Machine91 | 227-306 | After Job2 Step 4 |
| Job3 | 5 | Machine54 | 228-296 | After Job3 Step 4 |
| Job4 | 5 | Machine32 | 240-331 | After Job4 Step 4 |
| Job14 | 5 | Machine63 | 241-259 | After Job14 Step 4 |
| Job1 | 6 | Machine93 | 243-335 | After Job1 Step 5 |
| Job15 | 7 | Machine83 | 244-264 | After Job15 Step 6 |
| Job14 | 6 | Machine17 | 259-289 | After Job14 Step 5 |
| Job8 | 6 | Machine7 | 260-340 | After Job8 Step 5 |
| Job7 | 6 | Machine43 | 274-298 | After Job7 Step 5 |
| Job14 | 7 | Machine16 | 289-296 | After Job14 Step 6 |
| Job3 | 6 | Machine82 | 296-316 | After Job3 Step 5 |
| Job7 | 7 | Machine37 | 298-385 | After Job7 Step 6 |
| Job6 | 5 | Machine78 | 299-325 | After Job6 Step 4 |
| Job13 | 6 | Machine48 | 302-392 | After Job13 Step 5 |
| Job2 | 6 | Machine18 | 306-357 | After Job2 Step 5 |
| Job3 | 7 | Machine39 | 316-351 | After Job3 Step 6 |
| Job6 | 6 | Machine50 | 325-412 | After Job6 Step 5 |
| Job9 | 5 | Machine78 | 325-381 | After Job9 Step 4 |
| Job4 | 6 | Machine30 | 331-387 | After Job4 Step 5 |
| Job11 | 5 | Machine32 | 331-359 | After Job11 Step 4 |
| Job5 | 6 | Machine93 | 335-377 | After Job5 Step 5 |
| Job1 | 7 | Machine96 | 335-405 | After Job1 Step 6 |
| Job8 | 7 | Machine3 | 340-397 | After Job8 Step 6 |
| Job2 | 7 | Machine18 | 357-456 | After Job2 Step 6 |
| Job11 | 6 | Machine90 | 359-452 | After Job11 Step 5 |
| Job5 | 7 | Machine52 | 377-419 | After Job5 Step 6 |
| Job10 | 5 | Machine78 | 381-469 | After Job10 Step 4 |
| Job9 | 6 | Machine85 | 381-389 | After Job9 Step 5 |
| Job4 | 7 | Machine27 | 387-479 | After Job4 Step 6 |
| Job9 | 7 | Machine66 | 389-477 | After Job9 Step 6 |
| Job13 | 7 | Machine75 | 392-488 | After Job13 Step 6 |
| Job6 | 7 | Machine62 | 412-426 | After Job6 Step 6 |
| Job11 | 7 | Machine6 | 452-487 | After Job11 Step 6 |
| Job10 | 6 | Machine69 | 469-514 | After Job10 Step 5 |
| Job12 | 6 | Machine69 | 514-559 | After Job12 Step 5 |
| Job10 | 7 | Machine82 | 514-520 | After Job10 Step 6 |
| Job12 | 7 | Machine67 | 559-617 | After Job12 Step 6 |

Best static makespan for TA01: 617
Upper Bound (UB): 479
Gap to UB: 138
